line_id,category,refdes,part_name,manufacturer,mfr_part_number,qty,purpose,procurement_status,research_status,unit_cost,notes,source_stub
1,MCU,U1,nRF52840 WLCSP or module,Nordic,TBD_QUOTE,1,BLE SoC + application MCU,TBD_QUOTE,RESEARCH_CANDIDATE,TBD_QUOTE,Ring volume may force module vs WLCSP; DK mule allowed before miniaturization,/Users/gunnchos/Downloads/gunnchos-7gc-research-product-spine/repos/anime-aggressors/hardware/ring/bom/edgeio-ring-target-bom.csv
2,IMU,U2,BMI270 6-axis IMU,Bosch,TBD_QUOTE,1,Gesture / motion sensing,TBD_QUOTE,RESEARCH_CANDIDATE,TBD_QUOTE,Confirm mechanical placement for swipe axis before layout freeze,/Users/gunnchos/Downloads/gunnchos-7gc-research-product-spine/repos/anime-aggressors/hardware/ring/bom/edgeio-ring-target-bom.csv
3,HAPTIC,U3,DRV2605L haptic driver,Texas Instruments,TBD_QUOTE,1,Haptic drive (optional for auth-only),TBD_QUOTE,RESEARCH_CANDIDATE,TBD_QUOTE,Output-only; pair with LRA/ERM actuator,/Users/gunnchos/Downloads/gunnchos-7gc-research-product-spine/repos/anime-aggressors/hardware/ring/bom/edgeio-ring-target-bom.csv
4,ACTUATOR,M1,LRA or ERM actuator,TBD,TBD_QUOTE,1,Haptic transducer,TBD_QUOTE,RESEARCH_CANDIDATE,TBD_QUOTE,Actuator P/N TBD after enclosure ID,/Users/gunnchos/Downloads/gunnchos-7gc-research-product-spine/repos/anime-aggressors/hardware/ring/bom/edgeio-ring-target-bom.csv
5,BATTERY,B1,LiPo pouch 50-100mAh,TBD,TBD_QUOTE,1,Primary energy,TBD_QUOTE,RESEARCH_CANDIDATE,TBD_QUOTE,Safety review required before any wear; never claim purchased,/Users/gunnchos/Downloads/gunnchos-7gc-research-product-spine/repos/anime-aggressors/hardware/ring/bom/edgeio-ring-target-bom.csv
6,PMIC,U4,Battery charger + protection IC,TBD,TBD_QUOTE,1,Charge management and protection,TBD_QUOTE,RESEARCH_CANDIDATE,TBD_QUOTE,Protection IC mandatory; align with enclosure charge interface,/Users/gunnchos/Downloads/gunnchos-7gc-research-product-spine/repos/anime-aggressors/hardware/ring/bom/edgeio-ring-target-bom.csv
7,PASSIVE,R/C/L,Decoupling and RF matching passives,TBD,TBD_QUOTE,1lot,Power integrity + antenna match,TBD_QUOTE,RESEARCH_CANDIDATE,TBD_QUOTE,Finalize with schematic; arena electrical stubs are not a ring BOM freeze,/Users/gunnchos/Downloads/gunnchos-7gc-research-product-spine/repos/gunnchos-hardware-industrial-design/bom/wearables_arena_set/bom.csv
8,MECH,—,Ring enclosure / band,TBD,TBD_QUOTE,1,Wearable shell,TBD_QUOTE,RESEARCH_CANDIDATE,TBD_QUOTE,Sequenced after wristband mule lessons per anime-aggressors ring REQUIREMENTS,/Users/gunnchos/Downloads/gunnchos-7gc-research-product-spine/repos/anime-aggressors/hardware/ring/REQUIREMENTS.md
9,STACK,—,wearables_arena_set research stack,TBD,n/a,n/a,Low-power MCU/SoC BLE/UWB IMU haptic BMS (arena set),n/a,RESEARCH_CANDIDATE,n/a,Label: research stub / simulated evidence — not ring EVT inventory,/Users/gunnchos/Downloads/gunnchos-7gc-research-product-spine/repos/gunnchos-hardware-industrial-design/component_selection/RECOMMENDED_COMPONENT_STACKS.md
10,TOOL,DEV1,nRF52840 DK (bench mule),Nordic,TBD_QUOTE,0-1,Optional bench mule before ring PCB,TBD_QUOTE,RESEARCH_CANDIDATE,TBD_QUOTE,Mule is NOT a physical ring prototype; inventory separately if acquired,/Users/gunnchos/Downloads/gunnchos-7gc-research-product-spine/repos/anime-aggressors/hardware/ring/REQUIREMENTS.md
