refdes,mpn,manufacturer,description,qty,est_cost_usd,source,status,evidence_class,alternate_mpn,avl_status,notes
U1,nRF52840-QIAA,Nordic Semiconductor,BLE SoC primary MCU (auth/DFU/stream),1,3.8,distributor,FROZEN_BASELINE,MODELED,nRF52840-CKAA,AVL_CANDIDATE,ADR-FP-004/008 — insufficient alone for spatial promise
U2,BMI270,Bosch Sensortec,6-axis IMU,1,2.1,distributor,FROZEN_BASELINE,MODELED,ICM-42688-P,AVL_CANDIDATE,Motion modality; INT wake
U3,BMM350,Bosch Sensortec,Magnetometer (optional populate),1,1.2,distributor,FOOTPRINT,MODELED,BMM150,AVL_OPTIONAL,DNP OK if cavity tight
U4,SE050C1HQ1,NXP,Secure element,1,2.8,distributor,FROZEN_BASELINE,MODELED,ATECC608B,AVL_CANDIDATE,Identity/attestation
U5,IQS7222A,Azoteq,Capacitive touch/proximity controller,1,1.8,distributor,FOOTPRINT_REQUIRED,MODELED,IQS550,AVL_PENDING,ADR-FP-008 contact modality
U6,DWM3001C,Qorvo,UWB module DW3000-class (SPI),1,12.0,distributor,FOOTPRINT,MODELED,DW3000 IC + balun discrete,AVL_PENDING,DNP if size/power fail → UWB_ON_COMPANION
U7,BHI360,Bosch Sensortec,IMU+fusion sensor-hub coprocessor (optional),1,4.5,distributor,FOOTPRINT_OPTIONAL,MODELED,BHI260AP,AVL_OPTIONAL,Populate for standalone spatial demos
BT1,LP402025,OEM,LiPo 3.7V ~40-60mAh w/ PCM,1,1.5,oem,FROZEN_BASELINE,MODELED,GMB501215 80mAh,AVL_PENDING,REQUIRES_SUPPLIER_QUOTE
PCB1,edge_io_ring_flex_rigid,gunnchOS3k,Flex-rigid ring PCB,1,8.5,fab,DESIGN_EXISTS_KICAD_CLI_PENDING,MODELED,,KICAD_CLI EDMUND_ACTION_REQUIRED
MECH1,ring_shell_sizes,gunnchOS3k,Shell size variants,1,2.0,cm,CAD_PARAMETRIC,MODELED,,
ANT1,2450AT18A100,Johanson,2.45 GHz chip antenna,1,0.4,distributor,FROZEN_BASELINE,MODELED,PCB IFA,AVL_CANDIDATE,
ANT2,UWB_antenna_footprint,Qorvo/OEM,UWB antenna keep-out footprint,1,0.5,oem,FOOTPRINT,MODELED,,DNP with U6 if omitted
